Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
"('Your country needs you to fight fake news, UK journalists told', 'the guardian', '2018-05-01')",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Online,https://www.theguardian.com/politics/2018/may/01/your-country-needs-you-to-fight-fake-news-uk-journalists-told
"(Army's YouTube and Twitter sites 'breached', the daily telegraph, 2022-07-04)",Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Hacking,,"Twitter, Youtube",https://www.telegraph.co.uk/news/2022/07/03/british-army-hit-cyberattack-twitter-youtube-accounts-hacked/
"(Chinese hackers outed themselves by logging into their personal Facebook accounts (Posted 2013-02-19 19:35:16), the washington post, 2013-01-01)",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Hacking,,Online,https://www.washingtonpost.com/news/worldviews/wp/2013/02/19/chinese-hackers-outed-themselves-by-logging-into-their-personal-facebook-accounts/
"(Disneyland's Instagram Account Hacked With a Series of Profane, Racist Posts; 'We worked quickly to remove the reprehensible content,' a Disneyland representative said, wall street journal, 2022-07-07)",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Scaled Abuse_Hacking,Protective Measures,Instagram,https://www.wsj.com/business/media/disneylands-instagram-account-hacked-with-a-series-of-profane-racist-posts-11657213488
"(Down the rabbit hole: how QAnon conspiracies thrive on Facebook, the guardian, 2020-06-25)",Influential Individual->Regular Group,Influential Individual,Regular Group,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,https://www.theguardian.com/technology/2020/jun/25/qanon-facebook-conspiracy-theories-algorithm
"(Facebook cracks down on covert influence networks targeting Ukraine, the washington post, 2022-04-08)",Regular Group->Social Media Platform,Regular Group,Social Media Platform,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Facebook,https://www.washingtonpost.com/technology/2022/04/07/facebook-covert-influence-ukraine/
"(FIA busts gang hacking girls Facebook accounts, the nation, 2015-10-14)",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Hacking,Legal Action,Facebook,https://arynews.tv/fia-busts-gang-hacking-girls-facebook-accounts/
"(Fighting fake news is an online arms race, irish examiner, 2018-07-12)",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Online,https://www.irishexaminer.com/opinion/commentanalysis/arid-30854545.html
"(Russian TV, online platforms hacked with antiwar message on Victory Day, the washington post, 2022-05-09)",Regular Group->Influential Group,Regular Group,Influential Group,Scaled Abuse_Hacking,,"SmartTV, Yandex, Rutube",https://www.washingtonpost.com/world/2022/05/09/russia-tv-hack-victory-day-ukraine-war/
"(Soldiers in a War on Fake News, new york times, 2018-10-10)",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,https://www.nytimes.com/2018/10/09/business/facebook-philippines-rappler-fake-news.html
"(Sony demands news media delete data obtained by hackers, international new york times, 2014-12-16)",Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Hacking,Protective Measures,Sony,https://www.nytimes.com/2014/12/15/business/sony-pictures-demands-that-news-organizations-delete-stolen-data.html
"(The London police Twitter feed was hacked. Then Trump got in on the act., the washington post, 2019-07-20)",Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Hacking,Remove Content,Twitter,https://www.washingtonpost.com/world/2019/07/20/london-police-twitter-feed-was-hacked-then-trump-got-act/
